occupation
able seaman
dental assistant
dental ceramist
dental ceramist assistant
dental floss packer
dental hygienist
dental-amalgam processor
dental-equipment installer and servicer
dental-laboratory technician
dental-laboratory-technician apprentice
dentist
denture waxer
denture-model maker
deodorizer
deoiling-machine and pasteurizing-machine operator
department head, college or university
deposit clerk
deposit-refund clerk
depositing-machine operator
deputy sheriff, building guard
deputy sheriff, chief
deputy sheriff, civil division
deputy sheriff, commander, civil division
deputy sheriff, commander, criminal and patrol division
deputy sheriff, grand jury
deputy united states marshal
deputy, court
dermatologist
derrick operator
derrick worker, well service
derrick-boat captain
derrick-boat operator
design assembler
design drafter, electromechanisms
design engineer, marine equipment
design engineer, mining-and-oil-field equipment
design engineer, nuclear equipment
design inserter
design printer, balloon
design technician, computer-aided
design-engineer, agricultural equipment
designer
designer and patternmaker
desizing-machine operator, head-end
desk clerk, bowling floor
desk officer
desk-pen-set assembler
deskidding-machine operator
dessert-cup-machine feeder
destaticizer feeder
desulfurizer operator
detacker
detailer
detailer, furniture
detailer, school photographs
detective
detective chief
detective i
detective ii
detective, narcotics and vice
dethistler operator
detonator assembler
developer
developer prover, interior assemblies
developer, automatic
developer, printed circuit board panels
development mechanic
devulcanizer charger
devulcanizer tender
dewaterer operator
dextrine mixer
diagrammer and seamer
dial brusher
dial maker
dial marker
dial refinisher
dial-screw assembler
dialer
dialysis technician
diamond blender
diamond cleaver
diamond driller
diamond expert
diamond mounter
diamond selector
diamond sizer and sorter
diamond-die polisher
diamond-powder technician
diaper machine tender
dice maker
dicer operator
dictating-transcribing-machine servicer
die attacher
die attaching machine tender
die barber
die cleaner
die cutter
die designer
die finisher
die maker
die maker, bench, stamping
die maker, electronic
die maker, stamping
die maker, trim
die maker, wire drawing
die mounter
die polisher
die presser
die set-up operator, printed circuit boards
die setter
die sinker
die tester
die tripper
die-casting-machine operator i
die-casting-machine operator ii
die-casting-machine setter
die-cutting-machine operator, automatic
die-designer apprentice
die-drawing checker
die-maker apprentice
die-try-out worker, stamping
dielectric-press operator
diesel mechanic
diesel-engine erector
diesel-engine tester
diesel-mechanic apprentice
diesel-mechanic helper
diesel-plant operator
diet clerk
dietetic technician
dietitian, chief
dietitian, clinical
dietitian, consultant
dietitian, research
dietitian, teaching
diffuser operator
diffusion furnace operator, semiconductor wafers
digester operator
digester-operator helper
digestion operator
digger
digitizer operator
dining room attendant
dining-service inspector
dinkey operator
dip-lube operator
dipper
dipper and baker
dipper and drier
dipper, clock and watch hands
dipping-machine operator
direct-mail clerk
director of admissions
director of counseling
director of guidance in public schools
director of institutional research
director of photography
director of placement
director of pupil personnel program
director of religious activities
director of student affairs
director, athletic
director, casting
director, commission for the blind
director, community-health nursing
director, day care center
director, dental services
director, education
director, educational program
director, educational, community-health nursing
director, employment research and planning
director, extension work
director, field services
director, fundraising
director, funds development
director, industrial relations
director, instructional material
director, media marketing
director, motion picture
director, museum-or-zoo
director, music
director, nursing service
director, occupational health nursing
director, pharmacy services
director, radio
director, records management
director, religious education
director, research
director, school of nursing
director, social
director, special education
director, speech-and-hearing
director, stage
director, state-historical society
director, summer sessions
director, technical
director, television
director, translation
director, underwriter solicitation
director, utility accounts
director, vocational training
directory-assistance operator
disassembler
disaster or damage control specialist
disbursement clerk
disc jockey
disc-pad grinder
disc-pad grinding machine feeder
disc-pad knockout worker
disc-pad-plate filler
disk-and-tape-machine tender
dispatcher
dispatcher clerk
dispatcher, bus and trolley
dispatcher, chief ii
dispatcher, chief, service or work
dispatcher, concrete products
dispatcher, maintenance service
dispatcher, motor vehicle
dispatcher, oil
dispatcher, oil well services
dispatcher, radio
dispatcher, radioactive-waste-disposal
dispatcher, relay
dispatcher, security guard
dispatcher, service
dispatcher, service or work
dispatcher, service, chief
dispatcher, ship pilot
dispatcher, street department
dispatcher, traffic or system
dispatcher, tugboat
display designer
display fabricator
display maker
display-screen fabricator
displayer, merchandise
dissolver operator
distillation operator
distillation-operator helper
distiller i
distiller ii
distillery worker, general
distilling-department supervisor
distresser
distributing clerk
distribution supervisor
distribution-accounting clerk
distribution-field engineer
distributor-cleaner
district attorney
district extension service agent
district supervisor, mud-analysis well logging
ditch rider
ditcher operator
diver
diver helper
diver pumper
dividend clerk
dividend-deposit-voucher clerk
dividing-machine operator
dock hand
dock supervisor
doctor, naturopathic
document preparer, microfilming
document restorer
documentation engineer
documentation supervisor
documentation-billing clerk
doffer
dog bather
dog catcher
dog groomer
dog licenser
doll repairer
dolly pusher
domer
door assembler
door assembler i
door core assembler
door-closer mechanic
door-machine operator
doorkeeper
dope-dry-house operator
dorr operator
dot etcher
dot etcher apprentice
double
double-end-trimmer-and-boring-machine operator
doubling-machine operator
dough mixer
dough-brake-machine operator
dough-mixer operator
doughnut maker
doughnut-machine operator
dovetail-machine operator
dowel inspector
dowel pointer
dowel-inserting-machine operator
dowel-machine operator
doweling-machine operator
drafter apprentice
drafter, aeronautical
drafter, architectural
drafter, assistant
drafter, automotive design
drafter, automotive design layout
drafter, cartographic
drafter, castings
drafter, chief, design
drafter, civil
drafter, commercial
drafter, detail
drafter, directional survey
drafter, electrical
drafter, electronic
drafter, geological
drafter, geophysical
drafter, heating and ventilating
drafter, landscape
drafter, marine
drafter, mechanical
drafter, oil and gas
drafter, patent
drafter, plumbing
drafter, structural
drafter, tool design
dragline operator
drainage-design coordinator
dramatic coach
draper
drapery and upholstery estimator
drapery and upholstery measurer
drapery hanger
drapery operator
drapery-head former
drapery-rod assembler
draw-bench operator
draw-bench-operator helper
draw-frame tender
draw-machine operator
drawbridge operator
drawer liner
drawer upfitter
drawer waxer
drawer-in helper, hand
drawer-in, hand
drawer-in, stitch-bonding machine
drawing-frame tender
drawing-in-machine tender
drawing-in-machine-tender helper
drawing-kiln operator
drawing-kiln supervisor
drawings checker, engineering
drawstring knotter
dredge operator
dredge operator supervisor
dresser
dresser tender
dressmaker
dried fruit washer
drier
drier attendant
drier feeder
drier helper
drier operator
drier operator i
drier operator ii
drier operator iii
drier operator iv
drier operator v
drier operator vi
drier operator, drum
drier tender
drier tender i
drier, belt conveyor
drier, long goods
drier, short goods
drier-and-grinder tender
drier-and-pulverizer tender
drier-operator helper
drier-take-off tender
drifter
drill operator, automatic
drill press tender
drill-bit sharpener
drill-press operator
drill-press operator, acoustical tile
drill-press operator, numerical control
drill-press operator, printed circuit boards
drill-press set-up operator, multiple spindle
drill-press set-up operator, radial
drill-press set-up operator, radial, tool
drill-press set-up operator, single spindle
drill-punch operator
driller
driller and broacher
driller and deburrer, reflector
driller helper
driller, brake lining
driller, hand
driller, machine
driller-and-reamer, automatic
drilling-machine operator
drilling-machine operator, automatic
drip pumper
drip-box tender
drive-in theater attendant
driver
driver helper, sales route
driver supervisor
driver's license examiner
driver, sales route
driver, starting gate
driver-utility worker
drivers'-cash clerk
drop tester
drop-wire aligner
drop-wire builder
drop-wire hanger
drophammer operator
dropper, fermenting cellar
dross skimmer
drum attendant
drum cleaner
drum drier
drum loader and unloader
drum straightener i
drum tester
drum-drier operator
drummer
dry cleaner
dry cleaner, hand
dry curer
dry-cans operator
dry-cell tester
dry-cell-assembly-machine tender
dry-charge-process attendant
dry-cleaner apprentice
dry-cleaner helper
dry-end operator
dry-house attendant
dry-house tender
dry-kiln operator
dry-kiln operator helper
dry-pan charger
dry-pan operator
dry-placer-machine operator
dry-press operator
dry-press-operator helper
dry-starch operator
dry-starch operator, automatic
dry-wall applicator
dry-wall sprayer
drying-machine operator, package yarns
drying-machine tender
drying-oven attendant
drying-rack changer
drying-room attendant
drying-unit-felting-machine operator
drying-unit-felting-machine-operator helper
dual-hose cementer
dubbing-machine operator
duct maker
dude wrangler
dulser
dump operator
dump-truck driver
dumper
dumper-bailer operator
dumping-machine operator
duplicating-machine operator i
duplicating-machine operator ii
duplicator-punch operator
dust box worker
dust collector, ore crushing
dust collector-treater
dust mixer
dust puller
dust sampler
dust-brush assembler
dust-collector attendant
dust-collector operator
dust-mill operator
dust-mop maker
duster
dusting-and-brushing-machine operator
dustless operator
dye automation operator
dye weigher
dye-house supervisor
dye-house worker
dye-lab technician
dye-range operator, cloth
dye-reel operator
dye-reel-operator helper
dye-stand loader
dye-tank tender
dye-tub operator
dye-weigher helper
dyed-yarn operator
dyer
dyer helper
dyer, supervisor
dynamite reclaimer
dynamite-cartridge crimper
dynamite-packing-machine feeder
dynamite-packing-machine operator
dynamometer tester, engine
ear-mold laboratory technician
ear-muff assembler
earring maker
earth-boring-machine operator
echocardiograph technician
economist
eddy-current inspector
edge bander, hand
edge bander, machine
edge burnisher, uppers
edge grinder
edge roller
edge setter
edge stainer i
edge stainer ii
edge stripper
edge trimmer
edge-banding-machine offbearer
edge-glue-machine tender
edger, automatic
edger, hand
edger, touch-up
edger-machine helper
edger-machine operator
edging-machine feeder
edging-machine setter
editor, book
editor, city
editor, department
editor, dictionary
editor, greeting card
editor, index
editor, managing, newspaper
editor, map
editor, news
editor, newspaper
editor, publications
editor, school photograph
editor, technical and scientific publications
editor, telegraph
editorial assistant
editorial writer
education supervisor, correctional institution
educational resource coordinator
educational specialist
effervescent-salts compounder
egg breaker
egg candler
egg pasteurizer
egg processor
egg washer, machine
egg-breaking-machine operator
elastic attacher, chainstitch
elastic attacher, coverstitch
elastic attacher, overlock
elastic attacher, zigzag
elastic-tape inserter
election clerk
electric blanket wirer
electric motor repairing supervisor
electric power line examiner
electric-cell tender
electric-container tester
electric-distribution checker
electric-fork operator
electric-golf-cart repairer
electric-meter installer i
electric-meter installer ii
electric-meter repairer
electric-meter tester
electric-meter-repairer apprentice
electric-motor analyst
electric-motor assembler
electric-motor assembler and tester
electric-motor fitter
electric-motor repairer
electric-motor winder
electric-motor-and-generator assembler
electric-motor-control assembler
electric-organ assembler and checker
electric-organ inspector and repairer
electric-sealing-machine operator
electric-sign assembler
electric-tool repairer
electric-track-switch maintainer
electrical and radio mock-up mechanic
electrical assembler
electrical engineer
electrical engineer, power system
electrical inspector
electrical supervisor
electrical technician
electrical test engineer
electrical-appliance preparer
electrical-appliance repairer
electrical-appliance servicer
electrical-appliance-servicer apprentice
electrical-appliance-servicer supervisor
electrical-control assembler
electrical-design engineer
electrical-discharge-machine operator, production
electrical-discharge-machine set-up operator
electrical-equipment tester
electrical-installation supervisor
electrical-instrument repairer
electrical-line splicer
electrical-prospecting engineer
electrical-research engineer
electrician
electrician apprentice
electrician apprentice, powerhouse
electrician helper
electrician helper, automotive
electrician supervisor
electrician supervisor, substation
electrician, aircraft
electrician, automotive
electrician, chief
electrician, locomotive
electrician, maintenance
electrician, office
electrician, powerhouse
electrician, radio
electrician, research
electrician, substation
electrifier operator
electro-optical engineer
electrocardiograph technician
electrode cleaner
electrode turner-and-finisher
electrode-cleaning-machine operator
electroencephalographic technologist
electroformer
electrogalvanizing-machine operator
electroless plater
electroless plater, printed circuit board panels
electrologist
electrolysis-and-corrosion-control engineer
electromechanical technician
electromedical-equipment repairer
electromyographic technician
electronic equipment repairer
electronic equipment set-up operator
electronic funds transfer coordinator
electronic masking system operator
electronic prepress system operator
electronic-component processor
electronic-organ technician
electronic-production-line-maintenance mechanic
electronic-sales-and-service technician
electronic-scale subassembler
electronics assembler
electronics assembler, developmental
electronics engineer
electronics inspector
electronics mechanic
electronics technician
electronics tester
electronics utility worker
electronics worker
electronics-design engineer
electronics-mechanic apprentice
electronics-research engineer
electronics-test engineer
electrotype servicer
electrotyper
electrotyper apprentice
element winding machine tender
elevating-grader operator
elevator constructor
elevator examiner-and-adjuster
elevator operator
elevator operator, freight
elevator repairer
elevator starter
elevator-constructor helper
elevator-constructor supervisor
elevator-repairer apprentice
elevator-repairer helper
eligibility-and-occupancy interviewer
embalmer
embalmer apprentice
emblem drawer-in
embosser
embosser operator
embossing toolsetter
embossing-machine operator
embossing-machine operator i
embossing-machine operator ii
embossing-machine tender
embossing-machine-operator helper
embossing-press operator
embossing-press operator, molded goods
embossing-press-operator apprentice
embossograph operator
embroiderer, hand
embroidery patternmaker
embroidery supervisor
embroidery-machine operator
emergency medical services coordinator
emergency medical technician
employee relations specialist
employer relations representative
employment clerk
employment interviewer
enameler
encapsulator
end finder, forming department
end finder, roving department
end finder, twisting department
end frazer
end polisher
end stapler
end-touching-machine operator
endband cutter, hand
ending-machine operator
endodontist
energy-conservation representative
engine dispatcher
engine repairer, production
engine repairer, service
engine tester
engine turner
engine-lathe set-up operator
engine-lathe set-up operator, tool
engine-testing supervisor
engineer of system development
engineer, exhauster
engineer, soils
engineer-in-charge, studio operations
engineer-in-charge, transmitter
engineering assistant, mechanical equipment
engineering manager, electronics
engineering model maker
engineering-document-control clerk
engraver
engraver apprentice, decorative
engraver i
engraver ii
engraver tender
engraver, automatic
engraver, block
engraver, hand, hard metals
engraver, hand, soft metals
engraver, machine
engraver, machine i
engraver, machine ii
engraver, pantograph i
engraver, pantograph ii
engraver, picture
engraver, rubber
engraver, seals
engraver, tire mold
engraving supervisor
engraving-press operator
engrosser
enrobing-machine corder
enrobing-machine feeder
enrobing-machine operator
entomologist
envelope-folding-machine adjuster
envelope-machine operator
environmental analyst
environmental epidemiologist
epitaxial reactor operator
epitaxial reactor technician
equal opportunity officer
equal-opportunity representative
equestrian
equipment cleaner
equipment cleaner-and-tester
equipment inspector
equipment installer
equipment monitor, phototypesetting
escort
escort-vehicle driver
escrow officer
estimator and drafter
estimator, jewelry
estimator, paperboard boxes
estimator, printing
etch operator, semiconductor wafers
etched-circuit processor
etcher
etcher apprentice, photoengraving
etcher helper, hand
etcher, electrolytic
etcher, hand
etcher, machine
etcher, photoengraving
etcher-stripper, semiconductor wafers
ethnologist
evaluator
evaporative-cooler installer
evaporator operator
evaporator operator i
evaporator operator ii
examiner
excavator
excelsior-machine tender
executive director, nurses association
executive producer, promos
executive secretary, state board of nursing
exercise physiologist
exerciser, horse
exhaust equipment operator
exhibit artist
exhibit builder
exhibit designer
exhibit-display representative
expanding machine operator
expansion envelope maker, hand
expansion-joint builder
expediter
expediter clerk
expediter, service order
expedition supervisor
expeller operator
experimental aircraft mechanic
experimental assembler
experimental mechanic
experimental mechanic, electrical
experimental mechanic, outboard motors
experimental-box tester
experimental-rocket-sled mechanic
explosive operator i
explosive operator ii
explosive-operator supervisor
explosives-truck driver
express clerk
extension clerk
extension edger
extension service specialist
exterminator
exterminator helper
exterminator helper, termite
exterminator, termite
extra
extractor loader and unloader
extractor operator
extractor operator, solvent process
extractor-and-wringer operator
extractor-machine operator
extractor-operator helper
extractor-plant operator
extruder operator
extruder tender
extruder-operator helper
extruding-machine operator
extruding-press operator
extrusion bender
extrusion-die repairer
extrusion-press adjuster
extrusion-press operator i
extrusion-press operator ii
eye-dropper assembler
eyeglass-frame truer
eyeglass-lens cutter
eyelet-machine operator
eyelet-punch operator
fabric normalizer
fabric stretcher
fabric-and-accessories estimator
fabric-coating supervisor
fabric-lay-out worker
fabric-machine operator i
fabric-machine operator ii
fabricator, artificial breast
fabricator, foam rubber
fabricator, industrial furnace
fabricator, shower doors and panels
fabricator-assembler, metal products
facer
facilities planner
facility examiner
facing baster, jumpbasting
facing-machine operator
factory helper
factory lay-out engineer
faculty member, college or university
faller i
faller ii
family practitioner
fan-blade aligner
fancy-wire drawer
fare-register repairer
farm-equipment mechanic i
farm-equipment mechanic ii
farm-equipment-mechanic apprentice
farm-machine operator
farm-machine tender
farm-machinery set-up mechanic
farmer, cash grain
farmer, diversified crops
farmer, field crop
farmer, fruit crops, bush and vine
farmer, general
farmer, tree-fruit-and-nut crops
farmer, vegetable
farmworker, bulbs
farmworker, dairy
farmworker, diversified crops i
farmworker, diversified crops ii
farmworker, field crop i
farmworker, field crop ii
farmworker, fruit i
farmworker, fruit ii
farmworker, general i
farmworker, general ii
farmworker, grain i
farmworker, grain ii
farmworker, livestock
farmworker, machine
farmworker, poultry
farmworker, rice
farmworker, vegetable i
farmworker, vegetable ii
fashion artist
fashion designer
fast-foods worker
fastener technologist
fastener, machine
fastener-sewing-machine operator
fat-purification worker
feather mixer
feather renovator
feather sawyer
feather separator
feather shaper
feather stitcher
feather washer
feather-curling-machine operator
feather-cutting-machine feeder
feather-drying-machine operator
feather-duster winder
featheredger and reducer, machine
feed and farm management adviser
feed blender
feed grinder
feed mixer
feed weigher
feed-in worker
feed-mixer helper
feed-research aide
feeder
feeder-catcher, tobacco
feeder-switchboard operator
felled-seam operator, chainstitch
felt carbonizer
felt cutter
felt hanger
felt-cutting-machine operator
felt-goods supervisor, needle process
felt-hat steamer
felt-strip finisher
felt-tipping-machine tender
felt-washing-machine tender
felting-machine operator
felting-machine-operator helper
feltmaker and weigher
fence erector
fence-erector supervisor
fence-making machine operator
fermentation operator
fermenter operator
fermenter, wine
ferryboat operator
ferryboat operator, cable
ferryboat-operator helper
fertilizer mixer
fettler
fiber technologist
fiber-machine tender
fiberglass laminator
fiberglass-bonding-machine tender
fiberglass-container-winding operator
fiberglass-dowel-drawing-machine operator
fiberglass-machine operator
field artillery crewmember
field artillery operations specialist
field artillery senior sergeant
field cashier
field contractor
field engineer, specialist
field hauler
field inspector, disease and insect control
field recorder
field representative
field service engineer
field service technician
field service technician, poultry
field supervisor, oil-well services
field-assembly supervisor
field-contact technician
field-map editor
field-mechanical-meter tester
field-ring assembler
field-service engineer
field-service representative
fig caprifier
figure refinisher and repairer
file clerk i
file clerk ii
file cutter
filer
filer and sander
filer, finish
filer, hand, tool
filing-and-polishing supervisor
filler
filler feeder
filler mixer
filler room attendant
filler shredder, machine
filler spreader
filler-block inserter-remover
filler-shredder helper
filling machine tender
filling-and-stapling-machine operator
filling-machine operator
filling-machine set-up mechanic
film developer
film flat inspector
film inspector
film laboratory technician
film laboratory technician i
film laboratory technician ii
film loader
film or videotape editor
film printer
film spooler
film touch-up inspector
film-casting operator
film-or-tape librarian
film-rental clerk
film-replacement orderer
film-vault supervisor
filter changer
filter cleaner
filter helper
filter operator
filter tender
filter tender, jelly
filter washer
filter washer and presser
filter-plant supervisor
filter-press operator
filter-press tender
filter-press tender, head
filter-screen cleaner
filter-tank operator
filter-tank-tender helper, head
filtering-machine tender
filtration operator, polyethylene catalyst
final assembler
final finisher, forging dies
final inspector
final inspector, motorcyles
final inspector, movement assembly
final inspector, paper
final inspector, shuttle
final inspector, truck trailer
final tester
final-dressing cutter
financial planner
financial-aids officer
fine arts packer
finer
finger cobbler
finger-grip-machine operator
fingernail former
fingerprint classifier
fingerprint clerk i
fingerprint clerk ii
finish opener, jewel hole
finish patcher
finish-machine tender
finished-stock inspector
finisher
finisher operator
finisher, brush
finisher, denture
finisher, fiberglass boat parts
finisher, hand
finisher, machine
finisher-card tender
finishing inspector
finishing supervisor
finishing supervisor, plastic sheets
finishing trimmer
finishing-area operator
finishing-area supervisor
finishing-machine operator
fire captain
fire chief
fire chief's aide
fire fighter
fire fighter, crash, fire, and rescue
fire inspector
fire lookout
fire marshal
fire ranger
fire warden
fire-control mechanic
fire-equipment inspector
fire-equipment-inspector helper
fire-extinguisher repairer
fire-extinguisher-sprinkler inspector
fire-fighting-equipment specialist
fire-hose curer
fire-investigation lieutenant
fire-prevention research engineer
fire-protection engineer
fire-protection engineering technician
firearms-assembly supervisor
firer
firer helper
firer, high pressure
firer, kiln
firer, locomotive
firer, low pressure
firer, marine
firer, retort
firesetter
fireworks assembler
fireworks display specialist
fireworks maker
first helper
first-aid attendant
first-breaker feeder
fish and game warden
fish bailer
fish chopper, gang knife
fish cleaner
fish cleaner machine tender
fish drier
fish farmer
fish hatchery worker
fish packer
fish roe processor
fish roe technician
fish smoker
fish-bin tender
fish-cake maker
fish-egg packer
fish-liver sorter
fish-machine feeder
fish-net stringer
fish-stringer assembler
fisher, diving
fisher, line
fisher, net
fisher, pot
fisher, spear
fisher, terrapin
fisher, weir
fishing accessories maker
fishing-line-winding-machine operator
fishing-lure assembler
fishing-reel assembler
fishing-rod assembler
fishing-rod marker
fishing-tool technician, oil well
fitter
fitter helper
fitter i
fitter ii
fitter, ventilated rib
fitter-placer
fittings finisher
fixed-capital clerk
fixer, boarding room
fixing-machine operator
fixture maker
fixture repairer-fabricator
flagger
flake miller, wheat and oats
flake-cutter operator
flaker operator
flaking-roll operator
flame channeler
flame degreaser
flame-annealing-machine setter
flame-hardening-machine operator
flame-hardening-machine setter
flamer
flanger
flanging-roll operator
flare breaker
flash ranging crewmember
flash-drier operator
flasher adjuster
flat clothier
flat drier
flat polisher
flat surfacer, jewel
flatcar whacker
flatlock-sewing-machine operator
flatware maker
flatwork finisher
flatwork tier
flavor extractor
flavor room worker
flavoring oil filterer
fleece tier
flesher
flexographic-press operator
flight attendant, ramp
flight engineer
flight operations specialist
flight-crew-time clerk
flight-information expediter
flight-test data acquisition technician
flocker
floor and wall applier, liquid
floor attendant
floor broker
floor layer
floor service worker, spring
floor supervisor, endless-belt-weaving department
floor winder
floor worker
floor worker, well service
floor-covering layer
floor-layer apprentice
floor-space allocator
floorworker, lasting
floorworker-distributor
floral designer
flotation tender
flotation-tender helper
flour blender
flour mixer
flour-blender helper
flower picker
flower-machine operator
flower-pot-press operator
fluid jet cutter operator
fluid-power mechanic
flumer
flumer i
flumer ii
fluoroscope operator
flusher
flux mixer
flux-tube attendant
fly tier
flyer
flyer repairer
flying-shear operator
foam charger
foam dispenser
foam-gun operator
foam-machine operator
focuser
foiling-machine adjuster
foiling-machine operator
folder
folder, hand
folder, machine
folder-seamer, automatic
folder-tier
folding-machine feeder
folding-machine operator
folding-machine tender
follow-up clerk
food and drug inspector
food assembler, kitchen
food checker
food mixer
food order expediter
food technologist
food tester
food-and-beverage checker
food-and-beverage controller
food-service driver
food-service supervisor
food-service worker, hospital
foot straightener
foot worker
foot-miter operator
force-variation equipment tender
foreign banknote teller-trader
foreign clerk
foreign-exchange-position clerk
foreign-student adviser
forepart laster
forest ecologist
forest engineer
forest nursery supervisor
forest worker
forest-fire fighter
forest-products gatherer
forester
forester aide
forge helper
forge-shop supervisor
forge-shop-machine repairer
forging-press operator i
forging-press operator ii
forging-roll operator
form builder
form coverer
form designer
form maker, plaster
form-grader operator
form-tamper operator
formation-testing operator
former helper, hand
former, hand
forming-machine adjuster
forming-machine operator
forming-machine tender
forming-machine upkeep mechanic
forming-machine upkeep-mechanic helper
forming-process worker
forming-process-line worker
forming-roll operator i
forming-roll operator ii
forms analyst
formula clerk
formula weigher
formula-room worker
forwarder
foster parent
foundation maker
foundation-drill operator
foundry laborer, coreroom
foundry metallurgist
foundry supervisor
foundry worker, general
fountain pen turner
fountain server
four-corner-stayer-machine operator
four-h club agent
four-slide-machine operator i
four-slide-machine operator ii
four-slide-machine setter
fourdrinier-machine operator
foxing cutter, hot knife
foxing painter
foxing-cutting-machine operator, automatic
frame bander
frame carver, spindle
frame changer
frame feeder
frame hand
frame repairer
frame straightener
frame stripper
frame trimmer i
frame trimmer ii
frame wirer
frame-table operator
frame-table-operator helper
framer
frazer
freezer operator
freezer tunnel operator
freezing-machine operator
freezing-room worker
freight-car cleaner, delta system
freight-loading supervisor
fresh-work inspector
fretted-instrument inspector
fretted-instrument maker, hand
fretted-instrument repairer
friction-paint-machine tender
fringer
fringing-machine operator
frit-mixer-and-burner
front maker, lockstitch
front-edge-tape sewer, lockstitch
front-end loader operator
front-end mechanic
front-sight attacher
frothing-machine operator
frozen pie maker
fruit coordinator
fruit cutter
fruit distributor
fruit-bar maker
fruit-buying grader
fruit-grader operator
fruit-press operator
fuel attendant
fuel-house attendant
fuel-injection servicer
fuel-oil clerk
fuel-system-maintenance supervisor
fuel-system-maintenance worker
fuller
fulling-machine operator
fumigator
fumigator and sterilizer
fun-house operator
functional tester, typewriters
fund raiser i
fund raiser ii
funeral attendant
fur blender
fur blower
fur cleaner
fur cleaner, hand
fur cleaner, machine
fur cutter
fur designer
fur dresser
fur farmer
fur finisher
fur glazer
fur ironer
fur nailer
fur plucker
fur sorter
fur trimmer
fur-blower operator
fur-cutting-machine operator
fur-floor worker
fur-glazing-and-polishing-machine operator
fur-machine operator
fur-repair inspector
fur-storage clerk
furnace charger
furnace cleaner
furnace helper
furnace installer
furnace installer-and-repairer, hot air
furnace operator
furnace tender
furnace worker
furnace-and-wash-equipment operator
furnace-combustion analyst
furnace-installer-and-repairer helper, hot air
furnace-stock inspector
furniture assembler
furniture assembler-and-installer
furniture cleaner
furniture designer
furniture finisher
furniture reproducer
furniture restorer
furniture upholsterer
furniture-finisher apprentice
furniture-rental consultant
furniture-upholsterer apprentice
furrier
fuse assembler
fuse maker
fuse-cup expander
fusing-furnace loader
fusing-machine feeder
fusing-machine tender
galley stripper
gambling dealer
gambling monitor
gambreler
gambreler helper
game attendant
game-bird farmer
game-farm helper
gamma-facilities operator
gang sawyer
gang sawyer, stone
garage servicer, industrial
garbage collector
garbage collector driver
garbage-collection supervisor
garde manger
garden worker
gardener, special effects and instruction models
garland-machine operator
garment fitter
garment folder
garment inspector
garment sorter
garment steamer
garment turner
garment-alteration examiner
garnett-machine operator
garnetter
garnisher
gas charger
gas dispatcher
gas inspector
gas treater
gas usage meter clerk
gas-and-oil servicer
gas-appliance servicer
gas-appliance-servicer helper
gas-check-pad maker
gas-compressor operator
gas-distribution-and-emergency clerk
gas-engine operator
gas-engine repairer
gas-leak inspector
gas-leak inspector helper
gas-leak tester
gas-main fitter
gas-mask assembler
gas-mask inspector
gas-meter checker
gas-meter installer
gas-meter mechanic i
gas-meter mechanic ii
gas-meter prover
gas-meter-installer helper
gas-pumping-station helper
gas-pumping-station operator
gas-pumping-station supervisor
gas-regulator repairer
gas-regulator-repairer helper
gas-transfer operator
gas-welding-equipment mechanic
gasket inspector
gasket supervisor
gasser
gate agent
gate guard
gatherer
gauge operator
gauge-and-weigh-machine adjuster
gauge-and-weigh-machine operator
gauger
gauger, chief
gear hobber set-up operator
gear inspector
gear repairer
gear-cutting-machine operator, production
gear-cutting-machine set-up operator
gear-cutting-machine set-up operator, tool
gear-generator set-up operator, spiral bevel
gear-generator set-up operator, straight bevel
gear-lapping-machine operator
gear-milling-machine set-up operator
gear-shaper set-up operator
gear-shaver set-up operator
gear-sorting-and-inspecting machine operator
gelatin maker, utility
gelatin-dynamite-packing operator
gem cutter
genealogist
general helper
general practitioner
general worker, lithographic
general-handling supervisor
general-ledger bookkeeper
geneticist
geodesist
geodetic computator
geographer
geographer, physical
geological aide
geologist
geologist, petroleum
geophysical prospector
geophysical-laboratory chief
geophysicist
germination worker
getterer
gettering-filament-machine operator
gift wrapper
gig tender
gilder
gill-box tender
gin clerk
ginner
girdler
glass bender
glass blower
glass blower, laboratory apparatus
glass calibrator
glass checker
glass cut-off tender
glass cutter
glass cutter, hand
glass cutter, oval or circular
glass decorator
glass driller
glass finisher
glass grinder
glass grinder, laboratory apparatus
glass inspector
glass installer
glass polisher
glass sander, belt
glass tinter
glass-blowing-lathe operator
glass-bulb silverer
glass-bulb-machine adjuster
glass-bulb-machine former, tubular stock
glass-cleaning-machine tender
glass-cut-off supervisor
glass-cutter helper
glass-cutting-machine feeder
glass-cutting-machine operator, automatic
glass-furnace tender
glass-lathe operator
glass-lined tank repairer
glass-ribbon-machine operator
glass-ribbon-machine-operator assistant
glass-rolling-machine operator
glass-unloading-equipment tender
glass-vial-bending-conveyor feeder
glass-wool-blanket-machine feeder
glass-worker, pressed or blown
glaze handler
glaze maker
glaze supervisor
glazier
glazier apprentice
glazier supervisor
glazier, metal furniture
glazier, stained glass
glazing operator, black powder
glazing-machine operator
globe mounter
glove cleaner, hand
glove former
glove pairer
glove printer
glove sewer
glove turner
glove turner and former, automatic
glove-parts inspector
glucose-and-syrup weigher
glue maker, bone
glue mixer
glue spreader, veneer
glue-machine operator
glue-mill operator
glue-size-machine operator
glue-spreading-machine operator
glued wood tester
gluer
gluer and slicer, hand
gluer, wet suit
gluer-and-wedger
gluing-machine feeder
gluing-machine offbearer
